Site,Treatment,PlotID,Year,Height,Method,Flag
SB,CTL,SB-10,2009,3.25,highest_ind,NA
SB,CTL,SB-10,2015,1.695,pinpoint,NA
SB,CTL,SB-2,2009,5.916666666666667,highest_ind,NA
SB,CTL,SB-2,2015,0.423,pinpoint,NA
SB,CTL,SB-3,2009,4.19,highest_ind,NA
SB,CTL,SB-3,2015,1.421,pinpoint,NA
SB,CTL,SB-6,2009,4.0833333334,highest_ind,NA
SB,CTL,SB-6,2015,0.56,pinpoint,NA
SB,CTL,SB-8,2009,3.9583333333333335,highest_ind,NA
SB,CTL,SB-8,2015,1.348,pinpoint,NA
SB,OTC,SB-1,2009,4.875,highest_ind,NA
SB,OTC,SB-1,2015,1.281,pinpoint,NA
SB,OTC,SB-4,2009,5.375,highest_ind,NA
SB,OTC,SB-4,2015,1.238,pinpoint,NA
SB,OTC,SB-5,2009,4.5625,highest_ind,NA
SB,OTC,SB-5,2015,1.492,pinpoint,NA
SB,OTC,SB-7,2009,4.145833333333333,highest_ind,NA
SB,OTC,SB-7,2015,1.152,pinpoint,NA
SB,OTC,SB-9,2009,4.883,highest_ind,NA
SB,OTC,SB-9,2015,1.1544554455445544,pinpoint,NA
CH,CTL,CH-1,2009,7.35,highest_ind,NA
CH,CTL,CH-1,2015,1.98,pinpoint,NA
CH,CTL,CH-10,2009,6.333333334,highest_ind,Iced
CH,CTL,CH-10,2015,1.165,pinpoint,Iced
CH,CTL,CH-3,2009,3.9166666666666665,highest_ind,NA
CH,CTL,CH-3,2015,1.72,pinpoint,NA
CH,CTL,CH-7,2009,4.083333333333333,highest_ind,NA
CH,CTL,CH-7,2015,0.73,pinpoint,NA
CH,CTL,CH-9,2009,2.775,highest_ind,Iced
CH,CTL,CH-9,2015,0.84,pinpoint,Iced
CH,OTC,CH-2,2009,5.666666666666667,highest_ind,NA
CH,OTC,CH-2,2015,4.42,pinpoint,NA
CH,OTC,CH-4,2009,4.483333333333333,highest_ind,Iced
CH,OTC,CH-4,2015,0.566,pinpoint,Iced
CH,OTC,CH-5,2009,6.404761904714285,highest_ind,NA
CH,OTC,CH-5,2015,2.79,pinpoint,NA
CH,OTC,CH-6,2009,4.15,highest_ind,Iced
CH,OTC,CH-6,2015,1.535,pinpoint,Iced
CH,OTC,CH-8,2009,4.708333333333333,highest_ind,NA
CH,OTC,CH-8,2015,1.555,pinpoint,NA
DH,CTL,DH-1,2009,2.0416666666666665,highest_ind,NA
DH,CTL,DH-1,2015,0.89,pinpoint,NA
DH,CTL,DH-2,2009,2.9291666666666667,highest_ind,NA
DH,CTL,DH-2,2015,1.135,pinpoint,NA
DH,CTL,DH-5,2009,3.816666666625,highest_ind,NA
DH,CTL,DH-5,2015,1.3333333333333333,pinpoint,NA
DH,CTL,DH-7,2009,2.275,highest_ind,NA
DH,CTL,DH-7,2015,1.285,pinpoint,NA
DH,CTL,DH-8,2009,2.475,highest_ind,NA
DH,CTL,DH-8,2015,1.0158415841584159,pinpoint,NA
DH,OTC,DH-10,2009,4.1444444445,highest_ind,NA
DH,OTC,DH-10,2015,1.49,pinpoint,NA
DH,OTC,DH-3,2009,3.4578571428571427,highest_ind,NA
DH,OTC,DH-3,2015,2.0454545454545454,pinpoint,NA
DH,OTC,DH-4,2009,3.0583333334,highest_ind,NA
DH,OTC,DH-4,2015,1.0656565656565657,pinpoint,NA
DH,OTC,DH-6,2009,2.98,highest_ind,NA
DH,OTC,DH-6,2015,2.61,pinpoint,NA
DH,OTC,DH-9,2009,4.020833333333333,highest_ind,NA
DH,OTC,DH-9,2015,1.4393939393939394,pinpoint,NA
