Gradient,Site,PlotID,Elevation_m,Longitude_E,Latitude_N
C,1,A,9.916196823120117,15.712067347630919,78.21307418134985
C,1,B,9.916196823120117,15.711995124825105,78.2131080843707
C,1,C,9.803709983825684,15.711931569432949,78.21315328478481
C,1,D,9.758845329284668,15.711849380150921,78.21319246359967
C,1,E,9.892903327941895,15.711798066535353,78.21323226580637
C,1,F,9.858673095703125,15.711724287071881,78.21327842509943
C,1,G,10.291304588317871,15.711645480677337,78.21331689530463
C,2,A,35.103546142578125,15.7028251724,78.213106489
C,2,B,34.952938079833984,15.7027536146,78.21314043439999
C,2,C,34.44870376586914,15.702689368000001,78.2131856212
C,2,D,35.88026809692383,15.702607908000001,78.21322456733333
C,2,E,34.917930603027344,15.702557208166667,78.21326462866666
C,2,F,34.51542282104492,15.702482775333333,78.21331084966668
C,2,G,35.29413986206055,15.7024050525,78.21334916716665
C,3,A,84.315521240234375,15.694441734,78.211463527375
C,3,B,85.32965850830078,15.694319659,78.21149469000001
C,3,C,85.30431365966797,15.69412308133333,78.211534236
C,3,D,85.30842590332031,15.693943797333336,78.21157568444444
C,3,E,85.54279327392578,15.69377767577778,78.21161760333334
C,3,F,85.089080810546875,15.693577323444444,78.21164849133334
C,3,G,85.15360260009766,15.693375181,78.21168918425
C,4,A,135.15802001953125,15.691604295625002,78.210148510875
C,4,B,135.82395935058594,15.691406792124996,78.21016547775001
C,4,C,134.249755859375,15.691183525333333,78.21018369788888
C,4,D,133.6484375,15.690951362000002,78.21021181957143
C,4,E,134.39340209960937,15.690728032555556,78.21023975455557
C,4,F,133.4052276611328,15.690517520375,78.21027277275002
C,4,G,134.02081298828125,15.690261771625,78.210294576625
C,5,A,177.69808959960937,15.6934239276,78.20880172410001
C,5,B,176.56785583496094,15.69323010375,78.2088258395
C,5,C,177.35955810546875,15.693017288500002,78.20885030650001
C,5,D,176.5673370361328,15.692877799333331,78.208882156
C,5,E,177.42205810546875,15.692638782375,78.208907920625
C,5,F,176.60238647460937,15.692422076111109,78.20892576844446
C,5,G,177.94073486328125,15.692237217750002,78.208952555625
C,6,A,224.70541381835937,15.698836050375002,78.206980012875
C,6,B,225.40843200683594,15.698623882875,78.207006897125
C,6,C,224.65286254882812,15.698441914666667,78.20703528766667
C,6,D,224.36822509765625,15.698249327857143,78.20706691085715
C,6,E,223.04421997070312,15.697017461749997,78.207255272375
C,6,F,223.80140686035156,15.696810804625,78.20727381
C,6,G,224.0271759033203,15.6965959222,78.2072793844
C,7,A,237.01724243164062,15.69816825388889,78.20666098833334
C,7,B,237.33267211914063,15.697945115,78.2066739308889
C,7,C,237.90086364746094,15.697695457714287,78.206684289
C,7,D,238.1590576171875,15.697435394200003,78.2066866933
B,1,A,12.292683601379395,15.340958008075539,78.23947799782991
B,1,B,11.12513542175293,15.340857920240785,78.23943826403274
B,1,C,11.388898849487305,15.340773944890403,78.23939751043511
B,1,D,11.853240966796875,15.340674079654292,78.23935611513798
B,1,E,11.899442672729492,15.340589190603486,78.23931352664036
B,1,F,11.057655334472656,15.340491578966862,78.23927440814315
B,1,G,11.667891502380371,15.34040726811817,78.2392356499455
B,2,A,48.92877197265625,15.346759462195136,78.23859722016275
B,2,B,47.864070892333984,15.346621604997214,78.23856015346668
B,2,C,48.687957763671875,15.346508918975006,78.23852167476988
B,2,D,46.99821472167969,15.346374653677048,78.23848938417369
B,2,E,49.100730895996094,15.346254403661442,78.23845031787715
B,2,F,48.756351470947266,15.346138333542621,78.23841220708044
B,2,G,50.203163146972656,15.346014118632786,78.23837618728396
B,3,A,85.50328063964844,15.350138150112848,78.23837455616567
B,3,B,84.63785552978516,15.349990761620845,78.23833326026988
B,3,C,82.25934600830078,15.34989754307772,78.2382905750725
B,3,D,83.43031311035156,15.349798407841302,78.23824966967533
B,3,E,80.74507904052734,15.349684835418666,78.23820936407856
B,3,F,82.3598403930664,15.349552913908733,78.2381628480823
B,3,G,81.28936767578125,15.349430228395944,78.23812458718578
B,4,D,111.76399993896484,15.3520071830973,78.23810653861187
B,4,A,111.76399993896484,15.352103617885566,78.23807400100912
B,4,E,111.76399993896484,15.351926243255877,78.23808279921417
B,4,B,113.43753051757812,15.351992665067044,78.23804316841228
B,4,C,113.90788269042969,15.35185887776505,78.23800564241606
B,4,G,113.90788269042969,15.351702905208631,78.23800442422053
B,4,F,111.15225219726562,15.35181255073164,78.23804000161739
B,5,E,170.1026153564453,15.35376896878559,78.23740982346087
B,5,D,169.66575622558594,15.353924144362649,78.23743990485644
B,5,C,171.8372039794922,15.354068859144242,78.2374625194523
B,5,B,171.8372039794922,15.354210255125114,78.23747962954826
B,5,A,170.26597595214844,15.354390301468472,78.23749424024312
B,5,F,165.49844360351562,15.354006340927038,78.23749864925414
B,5,G,169.66575622558594,15.353848295159366,78.23747832935865
